day_date,holiday
2021-01-01,new_years_day
2021-01-18,mlk_day
2021-02-15,washingtons_bday
2021-04-02,good_friday
2021-05-31,memorial_day
2021-07-05,independence_day
2021-09-06,labor_day
2021-11-25,thanksgiving
2021-12-24,christmas
