symbol
A
AA
AAL
AAP
AAPL
ABBV
ABC
ABEV
ABMD
ABT
ACN
ADBE
ADI
ADM
ADP
ADS
ADSK
AEE
AEP
AES
AFL
AGO
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
ALLY
ALXN
AMAT
AMCR
AMD
AME
AMGN
AMP
AMT
AMZN
ANET
ANSS
ANTM
AON
AOS
APA
APD
APH
APTV
ARE
ARMK
ATO
ATVI
AVB
AVGO
AVY
AWK
AXP
AZO
BA
BAC
BAX
BBY
BDX
BEN
BF.B
BIIB
BIO
BK
BKNG
BKR
BLK
BLL
BMY
BP
BR
BRK.B
BSX
BUD
BURL
BWA
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CBS
CC
CCH
CCI
CCL
CDNS
CDW
CE
CERN
CF
CFG
CHD
CHRW
CHTR
CI
CINF
CIT
CL
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNA
CNC
CNP
COF
COG
COO
COP
COST
CPB
CPRT
CRM
CSCO
CSX
CTAS
CTLT
CTSH
CTVA
CTXS
CVS
CVX
CX
D
DAL
DAN
DAR
DB
DD
DE
DELL
DFS
DG
DGX
DHI
DHR
DIN
DIS
DISCA
DISCK
DISH
DLR
DLTR
DOV
DOW
DPZ
DRE
DRI
DTE
DUK
DVA
DVN
DXC
DXCM
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
ENPH
EOG
EQIX
EQR
ES
ESS
ETN
ETR
ETSY
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FB
FBHS
FCX
FDX
FE
FFIV
FIS
FISV
FITB
FLIR
FLS
FLT
FMC
FOX
FOXA
FRC
FRT
FTI
FTNT
FTV
GD
GE
GILD
GIS
GL
GLW
GM
GME
GOOG
GOOGL
GPC
GPN
GPS
GRMN
GS
GSK
GTE
GWW
HAL
HAS
HBAN
HBI
HCA
HD
HES
HFC
HIG
HII
HLT
HOLX
HON
HPE
HPQ
HRL
HSBC
HSIC
HST
HSY
HUM
HWM
IBM
ICE
IDXX
IEX
IFF
ILMN
INCY
INFO
ING
INTC
INTU
IP
IPG
IPGP
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JCI
JKHY
JNJ
JNPR
JPM
K
KBH
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KMX
KO
KR
KSS
KSU
L
LB
LDOS
LEG
LEN
LEVI
LH
LHX
LIN
LKQ
LLY
LMT
LNC
LNT
LOW
LRCX
LUMN
LUV
LVS
LW
LYB
LYV
M
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MNST
MO
MOS
MPC
MRK
MRO
MS
MSCI
MSFT
MSI
MT
MTB
MTD
MTG
MTH
MU
MXIM
NCLH
NCR
NDAQ
NEE
NEM
NFLX
NI
NKE
NLOK
NLSN
NOC
NOV
NOW
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWL
NWS
NWSA
O
ODFL
OKE
OMC
ORAN
ORCL
ORLY
OTIS
OXY
PAYC
PAYX
PBCT
PCAR
PEAK
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PKI
PLD
PM
PNC
PNR
PNW
POOL
PPG
PPL
PRGO
PRU
PSA
PSX
PVH
PWR
PXD
PYPL
QCOM
QRVO
RAD
RBS
RCL
RDN
RE
REG
REGN
RF
RHI
RJF
RL
RMD
RNR
ROK
ROL
ROP
ROST
RSG
RTX
SBAC
SBUX
SCHW
SEE
SHW
SIG
SIVB
SJM
SLB
SLG
SNA
SNPS
SO
SPG
SPGI
SRE
STE
STT
STX
STZ
SUM
SWK
SWKS
SYF
SYK
SYY
T
TAP
TD
TDG
TDY
TEL
TEN
TER
TFC
TFX
TGT
THC
TJX
TMO
TMUS
TOL
TOT
TPR
TRMB
TROW
TRV
TSCO
TSLA
TSN
TT
TTWO
TWTR
TXN
TXT
TYL
UA
UAA
UAL
UBS
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URI
USB
USFD
USX
V
VAR
VFC
VIAC
VLO
VMC
VNO
VNT
VRSK
VRSN
VRTX
VTR
VTRS
VZ
W
WAB
WAT
WBA
WDC
WEC
WELL
WFC
WHR
WLTW
WM
WMB
WMT
WRB
WRK
WST
WTRG
WU
WY
WYNN
X
XEL
XLNX
XOM
XRAY
XRX
XYL
YUM
ZBH
ZBRA
ZION
ZTS
